Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
executeFuncUnits.funcUnits[6].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[6].issueLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].issueLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].issueLat,2,23770945,24583577,20503021,42675207,23010182
executeBranchDelay,2,23770945,24583577,20503021,42675207,23010182
executeBranchDelay,1,23770945,24583577,20503021,42675207,23010182
executeBranchDelay,4,23770945,24583577,20503021,42675207,23010182
executeBranchDelay,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].issueLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].issueLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].opLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].opLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].issueLat,4,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].issueLat,2,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectWays,2,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectWays,1,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectWays,8,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectWays,4,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].opLat,4,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[2].opLat,3,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectTagSize,8,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectTagSize,32,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectTagSize,16,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectSets,1024,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectSets,512,23770945,24583577,20503021,42675207,23010182
