Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.indirectBranchPred.indirectSets,256,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
decodeCycleInput,True,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
decodeCycleInput,False,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
fetch1FetchLimit,2,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
fetch1FetchLimit,4,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
fetch1FetchLimit,1,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
threadPolicy,"""RoundRobin""",26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
threadPolicy,"""SingleThreaded""",26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
enableIdling,False,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
enableIdling,True,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
