Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
executeFuncUnits.funcUnits[2].issueLat,3,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[2].issueLat,2,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectWays,2,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectWays,1,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectWays,8,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectWays,4,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[2].opLat,2,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[2].opLat,4,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[2].opLat,3,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectTagSize,8,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectTagSize,32,0.056523,0.25115,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectTagSize,16,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectSets,1024,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectSets,512,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectSets,128,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.indirectBranchPred.indirectSets,256,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
decodeCycleInput,True,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
decodeCycleInput,False,0.101039,0.25115,0.045367,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
fetch1FetchLimit,2,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
fetch1FetchLimit,4,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
fetch1FetchLimit,1,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
threadPolicy,"""RoundRobin""",0.040125,0.25115,0.045367,0.060824,0.081303,0.24842,0.054944,0.138189,0.081805
threadPolicy,"""SingleThreaded""",0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
enableIdling,False,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
enableIdling,True,0.040792,0.257291,0.046392,0.060824,0.081833,0.254562,0.056287,0.142199,0.081809
